suj,fix_duration_mean_A,fix_duration_mean_B,fix_duration_median_A,fix_duration_median_B,number_of_fix_A,number_of_fix_B,sacc_duration_mean_A,sacc_duration_mean_B,sacc_duration_median_A,sacc_duration_median_B,number_of_sacc_A,number_of_sacc_B,explorative_A,explorative_B,monitoring_A,monitoring_B,planning_A,planning_B,first_fixation_time_A,first_fixation_time_B
0003,363.3874875451346,330.9515030963868,290.4,288.5,33.8,42.8,18.665587054869782,19.22925087794653,18.2,17.8,39.0,46.0,11.1,7.7,1.4,1.5,13.5,14.9,410.2,302.8
0004,426.20295286404155,363.08147769445964,360.8,302.0,32.1,40.77777777777778,21.85325587014987,21.257200947244545,20.8,19.444444444444443,35.6,47.666666666666664,3.7,2.1,4.2,3.8,12.2,21.0,651.0,632.0
0005,347.6672528560181,285.12154176184777,304.44444444444446,240.83333333333334,56.666666666666664,65.33333333333333,21.459338025424497,23.95049732137074,18.77777777777778,19.833333333333332,57.55555555555556,67.16666666666667,2.5,2.5,7.1,7.0,32.6,44.9,391.0,272.8
0012,303.7790741235281,281.8121751626272,236.0,219.5,53.0,62.125,21.69285047699402,22.160033188204828,20.1,20.375,58.5,66.0,5.3,2.5,5.7,7.6,27.4,40.5,492.8,562.4
0013,209.83856473518804,230.39811629407734,171.375,188.5,53.375,68.66666666666667,33.65070891421183,32.68296058596318,29.0,26.166666666666668,56.625,70.5,2.8,3.0,5.2,4.4,32.4,46.7,355.4,259.6
0015,339.8514714241573,342.7623694572847,288.2857142857143,297.75,53.0,61.25,20.863929451090783,19.716033320240903,20.142857142857142,19.5,55.285714285714285,61.0,10.3,10.0,7.0,7.4,24.6,37.6,243.2,416.44444444444446
0016,283.07797042474476,298.93398326187565,239.2,251.4,47.1,52.6,25.337225894734402,22.899176319876208,22.3,21.2,49.7,55.2,6.2,4.6,7.0,7.1,20.2,24.9,321.2,392.8888888888889
0020,300.4535053477595,277.51034243534247,265.875,231.75,31.5,31.75,30.178236627341168,26.33456438863909,23.375,23.25,33.375,25.25,1.7,2.5,0.6,0.5,18.4,21.0,471.6666666666667,425.1111111111111
0027,375.6748740445036,366.5531463299717,300.2,307.0,39.1,44.125,20.568866172472156,21.08079728999816,19.8,18.625,43.4,49.25,5.1,4.5,5.0,3.7,19.5,19.8,638.0,562.8888888888889
0042,343.1520075509183,308.415682897609,287.5,264.6666666666667,42.3,53.77777777777778,22.003853717538984,21.064466850654103,20.6,20.22222222222222,43.2,53.0,6.2,4.5,3.3,1.4,18.2,33.4,218.4,205.2
0045,299.89915132102306,301.5197743623955,253.0,259.7142857142857,50.5,58.42857142857143,22.292797799539553,22.648591255655223,19.6,19.142857142857142,51.2,57.142857142857146,5.5,6.8,3.4,3.9,26.3,38.8,386.6,348.22222222222223
0048,319.74070256094916,309.9323688053761,260.6666666666667,260.3333333333333,38.0,39.166666666666664,21.93549988596428,21.29031556163135,20.0,20.0,37.666666666666664,35.333333333333336,4.9,5.9,0.9,0.4,25.8,33.4,209.0,208.4
0049,293.0893057271449,304.28909806816785,228.77777777777777,247.5,50.22222222222222,54.666666666666664,25.66333934806295,24.802215973401246,22.333333333333332,22.833333333333332,57.0,60.666666666666664,8.4,9.2,5.8,4.5,26.5,21.6,700.6666666666666,725.6
0050,376.9856909167435,350.01988206112327,342.44444444444446,327.7142857142857,43.333333333333336,49.42857142857143,20.37452570492179,20.84654161320157,19.77777777777778,20.571428571428573,48.44444444444444,54.142857142857146,8.0,6.7,4.5,3.7,19.2,31.3,206.8,346.44444444444446
0051,365.8012561760022,319.6378217059245,306.9,272.44444444444446,35.1,56.77777777777778,20.874155422259303,21.165469480193835,19.4,19.88888888888889,35.2,55.888888888888886,3.6,4.4,4.4,4.9,15.4,25.6,282.4,276.6666666666667
0053,310.85282051282053,294.49930555555557,247.0,225.5,52.0,30.5,21.999365552245393,24.775510204081634,20.666666666666668,23.5,55.333333333333336,31.75,1.7,1.2,1.8,0.9,7.2,4.5,505.3333333333333,344.0
0054,393.5971196572718,385.01918742123223,344.7,330.4,34.1,43.0,23.002218807153017,21.779251138327854,20.1,20.0,37.3,45.6,3.1,3.2,5.3,4.6,14.7,13.1,397.77777777777777,396.6
0058,302.0524023741271,289.02418521397396,227.75,233.0,63.125,71.0,24.50747564397424,24.56348654224887,23.5,24.0,66.125,72.0,4.8,6.0,4.2,2.2,23.3,31.6,336.75,304.25
0059,299.4847746872323,288.38555171554896,238.85714285714286,243.5,61.0,66.25,21.89454934179251,25.041487775790102,19.285714285714285,21.5,65.14285714285714,76.5,6.3,4.2,7.5,8.5,34.3,34.5,488.6,295.6
0060,286.6883017180861,282.27322927186754,242.22222222222223,230.77777777777777,46.55555555555556,67.33333333333333,22.50262994981702,23.430752937852205,19.125,19.555555555555557,44.55555555555556,60.888888888888886,5.3,3.8,2.8,3.9,27.3,26.7,262.0,216.8
0062,296.7803393759149,288.20896696197707,259.6,265.8333333333333,65.6,53.666666666666664,20.903892217107924,19.802674058546387,19.2,18.4,66.4,50.166666666666664,2.1,1.0,4.3,4.9,18.1,20.9,174.8,282.4
0064,327.02122657535705,352.29443353432816,281.7,307.1,49.0,48.2,21.620023088268887,21.915598510400045,19.8,20.0,48.0,49.5,8.0,6.9,1.4,1.6,24.2,24.6,469.0,325.8
0068,281.8687335397068,247.2199037404915,236.3,202.5,53.5,65.5,22.108657660685054,23.867713847869727,19.9,20.6,51.1,61.0,3.3,2.5,2.2,2.2,29.9,41.0,389.0,420.44444444444446
0069,349.99441772696747,328.7213422867778,289.375,294.0,41.125,38.0,23.134301402433625,21.147848410619307,21.875,21.0,42.25,41.75,7.4,6.6,1.2,2.9,21.2,26.8,235.77777777777777,514.6666666666666
0076,310.27844318759213,283.6865854282413,252.88888888888889,232.33333333333334,39.55555555555556,37.333333333333336,22.170348788847736,22.601370769239804,20.22222222222222,20.22222222222222,38.0,35.55555555555556,1.4,1.5,4.4,3.3,16.0,18.3,553.5,387.7142857142857
0077,390.97031301522765,359.1740425531915,314.5,270.0,38.0,48.5,20.40982623776183,21.54814814814815,18.5,18.0,42.166666666666664,52.0,5.0,5.2,2.8,3.6,27.2,29.7,410.8888888888889,322.44444444444446
0088,315.95631207675257,296.635757858699,256.3,247.22222222222223,52.4,68.11111111111111,25.758667198720683,24.674962876103,22.6,21.444444444444443,55.1,69.0,6.4,7.1,3.9,5.4,23.4,39.6,376.4,325.0
0092,362.72033578124154,316.5178032130958,304.375,258.25,38.625,51.875,21.531694758092783,21.648575081521535,20.375,19.875,41.0,56.375,6.7,6.8,5.1,5.2,18.1,24.9,531.5555555555555,520.6
